FileName,TAG,no_finding,cardiomegaly,interstitial_pattern,alveolar_pattern,bronchial_pattern,tube,mass,pleural_effusion,pneumothorax,megaesophagu
IMG-0001-0001.dcm,bronchial_pattern,0,0,0,0,1,0,0,0,0,0
IMG-0002-0003.dcm,bronchial_pattern,0,0,0,0,1,0,0,0,0,0
IMG-0023-0001.dcm,"no_finding,bronchial_pattern",1,0,0,0,1,0,0,0,0,0
IMG-0052-0001.dcm,bronchial_pattern,0,0,0,0,1,0,0,0,0,0
IMG-0053-0002.dcm,bronchial_pattern,0,0,0,0,1,0,0,0,0,0
IMG-0095-0001.dcm,"cardiomegaly,tracheal_collapse",0,1,0,0,0,0,0,0,0,0
IMG-0101-0001.dcm,"cardiomegaly,interstitial_pattern",0,1,1,0,0,0,0,0,0,0
IMG-0175-0003.dcm,"cardiomegaly,alveolar_pattern",0,1,0,1,0,0,0,0,0,0
IMG-0228-0001.dcm,"no_finding,bronchial_pattern",1,0,0,0,1,0,0,0,0,0
IMG-0232-0003.dcm,"cardiomegaly,interstitial_pattern,alveolar_pattern,pleural_effusion",0,1,1,1,0,0,0,1,0,0
IMG-0327-0002.dcm,"pneumothorax,pleural_effusion",0,0,0,0,0,0,0,1,1,0
IMG-0328-0001-0001.dcm,pneumothorax,0,0,0,0,0,0,0,0,1,0
IMG-0328-0001-0002.dcm,"pneumothorax,alveolar_patten",0,0,0,0,0,0,0,0,1,0
IMG-0328-0001-0003.dcm,"pneumothorax,alveolar_patten",0,0,0,0,0,0,0,0,1,0
IMG-0332-0003.dcm,hernia,0,0,0,0,0,0,0,0,0,0
IMG-0337-0004.dcm,bronchial_pattern,0,0,0,0,1,0,0,0,0,0
IMG-0414-0001.dcm,bronchial_pattern,0,0,0,0,1,0,0,0,0,0
IMG-0427-0001.dcm,alveolar_pattern,0,0,0,1,0,0,0,0,0,0
IMG-0492-0001.dcm,"cardiomegaly,interstitial_pattern",0,1,1,0,0,0,0,0,0,0
IMG-0494-0001.dcm,"bronchial_pattern,alveolar_pattern",0,0,0,1,1,0,0,0,0,0
IMG-0526-0003.dcm,interstitial_pattern,0,0,1,0,0,0,0,0,0,0
IMG-0541-0001-0001.dcm,"pneumothorax,alveolar_pattern",0,0,0,1,0,0,0,0,1,0
IMG-0541-0001-0002.dcm,pleural_effusion,0,0,0,0,0,0,0,1,0,0
IMG-0552-0001.dcm,cardiomegaly,0,1,0,0,0,0,0,0,0,0
IMG-0590-0001.dcm,tracheal_collapse,0,0,0,0,0,0,0,0,0,0
IMG-0592-0001.dcm,"cardiomegaly,interstitial_pattern",0,1,1,0,0,0,0,0,0,0
IMG-0593-0002.dcm,cardiomegaly,0,1,0,0,0,0,0,0,0,0
IMG-0601-0001.dcm,"bronchial_pattern,no_finding",1,0,0,0,1,0,0,0,0,0
IMG-0622-0001.dcm,bronchial_pattern,0,0,0,0,1,0,0,0,0,0
IMG-0624-0003.dcm,bronchial_pattern,0,0,0,0,1,0,0,0,0,0
IMG-0627-0001.dcm,"alveolar_pattern,bronchial_pattern",0,0,0,1,1,0,0,0,0,0
IMG-0655-0001.dcm,"alveolar_pattern,bronchial_pattern",0,0,0,1,1,0,0,0,0,0
IMG-0672-0001.dcm,bronchial_pattern,0,0,0,0,1,0,0,0,0,0
IMG-0674-0001.dcm,cardiomegaly,0,1,0,0,0,0,0,0,0,0
IMG-0676-0001.dcm,cardiomegaly,0,1,0,0,0,0,0,0,0,0
IMG-0678-0001.dcm,bronchial_pattern,0,0,0,0,1,0,0,0,0,0
IMG-0686-0001-0002.dcm,"bronchial_pattern,cardiomegaly",0,1,0,0,1,0,0,0,0,0
IMG-0687-0002.dcm,"bronchial_pattern,cardiomegaly",0,1,0,0,1,0,0,0,0,0
